timestamp,open,high,low,close,volume
1783915,0.8276,0.8377,0.8268,0.8377,18989.09380128
1783929,0.838,0.838,0.8288,0.8317,35814.55790452
1783944,0.8314,0.8388,0.8247,0.8371,57621.741300010006
1783958,0.8378,0.8418,0.8258,0.8387,39471.40136059
1783972,0.8392,0.8399,0.8274,0.835,20342.37806736
1783987,0.8357,0.8415,0.827,0.834,192982.38685483
1784001,0.8342,0.847,0.8342,0.8435,88163.38496645
1784016,0.8431,0.8485,0.8366,0.8366,41817.35013279
1784030,0.8356,0.8588,0.833,0.8521,259039.43436189002
1784044,0.8523,0.8582,0.8446,0.8496,66381.44696557001
1784059,0.8497,0.8529,0.8433,0.8526,29941.769115310002
1784073,0.8516,0.8581,0.849,0.8544,48819.9371
1784088,0.8541,0.862,0.847,0.8521,164549.64644909
1784102,0.853,0.8556,0.849,0.8523,22708.03980172
1784116,0.8513,0.8678,0.8497,0.8562,89541.94857926
1784131,0.8554,0.8569,0.8386,0.8402,95680.28174276999
1784145,0.8402,0.8481,0.8401,0.8466,37224.05389575
1784160,0.8467,0.85,0.836,0.8494,43083.53424834
1784174,0.849,0.85,0.8327,0.8348,143440.94986254
1784188,0.8356,0.8411,0.8335,0.8395,953845.76148159
1784203,0.839,0.8604,0.834,0.8532,101621.9333181
1784217,0.8541,0.8574,0.8409,0.8571,55878.36129459
1784232,0.8565,0.8728,0.8512,0.8566,178032.58105512
1784246,0.8585,0.8683,0.852,0.8598,54663.71628131
1784260,0.8574,0.8609,0.8436,0.8487,83162.99405199001
1784275,0.849,0.8604,0.8414,0.853,293767.27114962
1784289,0.8524,0.8537,0.8341,0.8481,452434.40153346
1784304,0.8496,0.8636,0.8469,0.8521,59721.286904500004
1784318,0.8526,0.856,0.8476,0.8488,13531.158499230001
1784332,0.8489,0.8521,0.8467,0.8511,15822.27227431
1784347,0.8516,0.8516,0.8411,0.8422,21363.88956744
1784361,0.8427,0.8433,0.8361,0.8378,8042.57567338
1784376,0.8378,0.8394,0.8304,0.8326,258786.70634528
1784390,0.831,0.8394,0.8302,0.8353,43142.591320039995
1784404,0.8356,0.8377,0.8338,0.8371,16716.941327200002
1784419,0.8378,0.8402,0.8321,0.8366,28789.22679539
1784433,0.837,0.841,0.8346,0.8363,19948.73542067
1784448,0.8368,0.8378,0.8296,0.8296,23246.5649545
1784462,0.8296,0.8296,0.8204,0.8239,38115.28720005
1784476,0.8226,0.8253,0.8065,0.8166,79889.96786672
1784491,0.8165,0.8201,0.8131,0.8191,17791.90313341
1784505,0.8189,0.8257,0.8071,0.8131,26428.3500303
1784520,0.8136,0.815,0.801,0.8069,40884.06343959
1784534,0.8071,0.815,0.8005,0.815,528603.95951886
1784548,0.8154,0.8249,0.8084,0.8225,94358.19070145
1784563,0.825,0.827,0.817,0.8233,67221.00873475001
1784577,0.8238,0.8308,0.8204,0.8266,36776.416837389996
1784592,0.8263,0.8379,0.8242,0.8379,16057.43019305
1784606,0.8381,0.8633,0.8325,0.8555,179571.66602025
1784620,0.8555,0.8678,0.855,0.8575,40497.06007814
1784635,0.8575,0.8625,0.8513,0.8553,61207.40370056
1784649,0.8557,0.8574,0.85,0.8556,24176.23077698
1784664,0.8557,0.8557,0.8432,0.8462,40250.97180153
1784678,0.8466,0.8576,0.8465,0.8472,63937.96075108
1784692,0.8481,0.8548,0.8366,0.84,49553.61298827
1784707,0.8402,0.8432,0.8361,0.8381,22241.95947124
1784721,0.8376,0.8452,0.8333,0.8452,53139.19353386
1784736,0.8443,0.8528,0.837,0.8409,22179.91925492
1784750,0.8412,0.8435,0.8295,0.8343,16963.82343285
1784764,0.8353,0.8413,0.8205,0.8215,53920.644131299996
1784779,0.8216,0.8254,0.8172,0.8197,18556.83662335
1784793,0.8201,0.8242,0.817,0.8178,15757.027230759999
1784808,0.8178,0.8227,0.81,0.8145,47203.12248309
1784822,0.8135,0.8185,0.8056,0.8143,35334.49002036
1784836,0.8164,0.8186,0.8132,0.8148,10882.20345297
1784851,0.8151,0.8186,0.8113,0.8152,25063.77929874
1784865,0.8146,0.816,0.8085,0.8115,25698.385034600004
1784880,0.8114,0.8117,0.8005,0.8041,80830.77956202
1784894,0.8027,0.804,0.7878,0.7997,124002.20539419999
1784908,0.7978,0.8064,0.7972,0.8061,67691.29751469
1784923,0.806,0.8098,0.8009,0.8085,52868.67845256
1784937,0.8075,0.8123,0.8056,0.8111,29716.09275729
1784952,0.811,0.8169,0.8092,0.8103,32686.767167640002
1784966,0.8104,0.8184,0.8081,0.8133,11040.91407481
1784980,0.8134,0.8242,0.8127,0.8212,34639.79320528
1784995,0.8214,0.8224,0.8157,0.8163,18187.45087467
1785009,0.8154,0.8184,0.8126,0.8131,12080.69954977
1785024,0.8126,0.8211,0.812,0.8181,8176.94324725
1785038,0.8188,0.8276,0.8177,0.825,15455.99775235
1785052,0.8248,0.8305,0.8226,0.8235,14178.426706630002
1785067,0.8235,0.8275,0.8205,0.8232,17358.72982492
1785081,0.8235,0.8266,0.8165,0.818,23103.28428689
1785096,0.8183,0.8305,0.8165,0.826,15273.72246093
1785110,0.827,0.8274,0.8129,0.8163,11201.95152139
1785124,0.8164,0.8203,0.8136,0.8142,12424.99540788
1785139,0.8145,0.82,0.8065,0.8071,741798.06312513
1785153,0.8065,0.8121,0.7891,0.7918,79473.64619464
1785168,0.791,0.797,0.7878,0.7928,111140.66924444001
1785182,0.7929,0.7944,0.7483,0.7582,242378.77974404
1785196,0.7576,0.7618,0.7518,0.7602,78526.63714852
1785211,0.7609,0.7728,0.7569,0.7583,161232.26732463
1785225,0.758,0.7644,0.7573,0.7587,46527.88415585
1785240,0.7574,0.7644,0.7478,0.7619,277022.46524285
1785254,0.7621,0.7636,0.7541,0.763,48865.92064004
1785268,0.7631,0.767,0.7582,0.7609,71861.44438703
1785283,0.7608,0.7662,0.7528,0.7582,37356.22068829
1785297,0.7575,0.7643,0.7538,0.7641,13844.42640787
1785312,0.7649,0.7649,0.758,0.7598,26011.07846175
1785326,0.7606,0.7614,0.755,0.7577,36003.15626651
1785340,0.7582,0.7754,0.7557,0.7594,55547.51632475
