timestamp,open,high,low,close,volume
1787241,1.16794,1.16801,1.16699,1.16784,0
1787256,1.16781,1.16881,1.16759,1.1688,0
1787270,1.16877,1.17009,1.16833,1.16944,0
1787284,1.16941,1.17005,1.16874,1.169,0
1787299,1.16894,1.17108,1.16892,1.17007,0
1787313,1.17003,1.1704,1.16694,1.16841,0
1787328,1.16837,1.16863,1.16776,1.16789,0
1787342,1.16787,1.16913,1.16735,1.16817,0
1787356,1.16817,1.16932,1.16742,1.16763,0
1787371,1.16761,1.16933,1.16728,1.16763,0
1787385,1.16773,1.16932,1.16715,1.16797,0
1787400,1.16795,1.16928,1.16741,1.1685,0
1787414,1.16851,1.16929,1.1673,1.16811,0
1787428,1.16811,1.16933,1.16742,1.16852,0
1787443,1.16851,1.16922,1.16719,1.16847,0
1787457,1.16845,1.16926,1.16717,1.16857,0
1787472,1.16855,1.16888,1.16821,1.16836,0
1787486,1.16836,1.16841,1.16757,1.16763,0
1787500,1.16764,1.16917,1.16584,1.1676,0
1787515,1.16744,1.16822,1.16711,1.1682,0
1787529,1.16815,1.16872,1.16768,1.16803,0
1787544,1.16801,1.16834,1.16657,1.16691,0
1787558,1.16689,1.16724,1.16606,1.16662,0
1787572,1.16667,1.16746,1.16625,1.16647,0
1787587,1.1665,1.16692,1.1655,1.16609,0
1787601,1.16612,1.16687,1.16604,1.16684,0
1787616,1.16683,1.16721,1.16585,1.16606,0
1787630,1.16603,1.16632,1.16515,1.1659,0
1787644,1.16587,1.16741,1.16576,1.16598,0
1787659,1.16602,1.16753,1.16596,1.16729,0
1787673,1.16723,1.16788,1.16679,1.16775,0
1787688,1.1677,1.16796,1.16724,1.16749,0
1787702,1.16746,1.1676,1.16636,1.16645,0
1787716,1.16642,1.16732,1.166,1.16706,0
1787731,1.16698,1.16771,1.16605,1.16694,0
1787745,1.16689,1.16745,1.16421,1.16503,0
1787760,1.16509,1.16547,1.16488,1.16523,0
1787774,1.16527,1.16569,1.16505,1.16552,0
1787788,1.1655,1.16599,1.16531,1.16545,0
1787803,1.16542,1.16586,1.16514,1.16543,0
1787817,1.16549,1.16581,1.1637,1.16411,0
1787832,1.16423,1.16597,1.16402,1.16534,0
1787846,1.16537,1.16549,1.16459,1.16501,0
1787860,1.16499,1.16558,1.16484,1.16539,0
1787875,1.16537,1.16557,1.16454,1.16463,0
1787889,1.1646,1.1649,1.1642,1.16473,0
1787904,1.16476,1.16495,1.16394,1.16448,0
1787918,1.16456,1.16503,1.1594,1.15987,0
1787932,1.15985,1.15989,1.15781,1.15864,0
1787947,1.1587,1.15888,1.15798,1.15858,0
1787961,1.15862,1.15882,1.15776,1.15823,0
1787976,1.1582,1.15879,1.15812,1.15821,0
1787990,1.15823,1.1588,1.15807,1.15819,0
1788004,1.1582,1.15926,1.15675,1.15747,0
1788019,1.15748,1.15884,1.15744,1.1583,0
1788033,1.15828,1.15882,1.15816,1.15848,0
