timestamp,open,high,low,close,volume
1783915200000,43.48,43.67,43.45,43.46,573.09956303
1783918800000,43.45,43.8,43.35,43.78,3367.47782194
1783922400000,43.78,43.86,43.72,43.8,291.07006745
1783926000000,43.82,43.99,43.8,43.86,316.11073019
1783929600000,43.9,43.97,43.85,43.9,255.19664279
1783933200000,43.9,43.9,43.8,43.84,262.40592185
1783936800000,43.83,43.83,43.66,43.69,906.35858498
1783940400000,43.69,43.74,43.34,43.34,380.37335088
1783944000000,43.35,43.4,43.2,43.37,5378.45438152
1783947600000,43.37,43.42,43.17,43.2,2363.76029657
1783951200000,43.2,43.57,43.05,43.51,2224.50624435
1783954800000,43.54,43.65,43.42,43.43,903.50945497
1783958400000,43.44,43.46,43.22,43.27,6248.4609449
1783962000000,43.29,43.35,42.96,42.96,1047.17915829
1783965600000,42.97,43.15,42.89,43.08,1181.30681618
1783969200000,43.08,43.3,43.03,43.28,1384.83657043
1783972800000,43.27,43.3,43.1,43.24,809.71460594
1783976400000,43.2,43.3,43.05,43.15,983.64463642
1783980000000,43.16,43.41,43.16,43.27,930.25599556
1783983600000,43.26,43.5,43.22,43.5,611.17734703
1783987200000,43.53,43.77,43.44,43.77,2232.76062302
1783990800000,43.74,43.81,43.6,43.63,476.54190405
1783994400000,43.6,43.67,43.39,43.54,730.1445364
1783998000000,43.54,43.66,43.38,43.66,612.21612765
1784001600000,43.66,43.71,43.54,43.66,527.37322013
1784005200000,43.64,43.81,43.64,43.79,526.6705386
1784008800000,43.79,43.79,43.63,43.69,302.50367434
1784012400000,43.68,43.69,43.5,43.54,552.957065
1784016000000,43.55,43.65,43.49,43.6,389.38547849
1784019600000,43.61,43.72,43.55,43.7,726.02268176
1784023200000,43.7,43.76,43.55,43.72,529.18700434
1784026800000,43.68,43.76,43.64,43.64,372.59186508
1784030400000,43.63,44.53,43.57,44.51,2623.9910919
1784034000000,44.54,44.82,44.44,44.66,4934.9989643
1784037600000,44.66,44.67,44.45,44.63,6967.83404448
1784041200000,44.62,44.95,44.46,44.77,7262.05623753
1784044800000,44.77,44.87,44.58,44.59,2139.88512171
1784048400000,44.57,44.66,44.29,44.64,6283.13276253
1784052000000,44.66,44.73,44.46,44.73,1458.92264329
1784055600000,44.72,45.0,44.71,44.96,10042.34285264
1784059200000,44.96,44.99,44.84,44.99,1377.69661784
1784062800000,44.99,45.07,44.91,45.06,1443.42761785
1784066400000,45.06,45.24,44.92,45.14,3046.96777093
1784070000000,45.14,45.47,45.13,45.38,2312.39751037
1784073600000,45.42,45.48,45.13,45.28,1445.85909377
1784077200000,45.26,45.26,44.93,44.98,892.28878461
1784080800000,45.0,45.02,44.79,44.81,1280.69984049
1784084400000,44.81,45.03,44.61,44.92,2998.96473704
1784088000000,44.92,44.95,44.61,44.75,606.73799038
1784091600000,44.76,44.9,44.64,44.9,567.76048011
1784095200000,44.89,45.18,44.89,44.99,1015.12553998
1784098800000,44.98,45.17,44.86,45.11,1379.94586701
1784102400000,45.14,45.31,45.09,45.29,534.75820731
1784106000000,45.29,46.04,45.29,45.72,4005.67268728
1784109600000,45.75,46.0,45.45,45.48,4848.2009017
1784113200000,45.5,45.58,45.32,45.38,946.87080502
1784116800000,45.39,45.64,45.29,45.64,3794.38975423
1784120400000,45.63,45.72,45.32,45.43,1584.24189079
1784124000000,45.44,45.61,45.35,45.55,915.07379635
1784127600000,45.52,45.89,45.45,45.7,2700.59958847
1784131200000,45.7,45.7,44.88,45.13,3279.21885978
1784134800000,45.13,45.28,45.04,45.23,1032.57106224
1784138400000,45.22,45.32,44.99,45.01,4371.22436335
1784142000000,45.0,45.08,44.87,44.91,790.18404307
1784145600000,44.9,45.14,44.88,45.09,1552.06975417
1784149200000,45.09,45.18,44.95,44.99,2022.54527857
1784152800000,44.99,45.11,44.96,45.11,1715.063759
1784156400000,45.1,45.21,45.04,45.14,721.30355745
1784160000000,45.15,45.29,44.93,45.06,1782.43549556
1784163600000,45.04,45.24,44.94,45.19,862.2711654
1784167200000,45.19,45.31,45.14,45.29,551.09392166
1784170800000,45.29,45.3,45.12,45.18,473.84554434
1784174400000,45.17,45.28,45.15,45.2,2780.06305562
1784178000000,45.23,45.37,45.22,45.26,2034.68245841
1784181600000,45.27,45.35,44.97,45.15,1098.60155041
1784185200000,45.15,45.15,44.73,44.85,988.73175698
1784188800000,44.82,44.96,44.56,44.7,4682.12091219
1784192400000,44.72,44.76,44.56,44.65,688.5491874
1784196000000,44.65,44.74,44.59,44.64,479.68039763
1784199600000,44.65,44.66,44.44,44.54,1633.48444384
1784203200000,44.54,44.54,44.33,44.48,2077.93938188
1784206800000,44.48,44.79,44.48,44.72,2275.59503751
1784210400000,44.71,44.98,44.71,44.91,946.4357211
1784214000000,44.94,45.27,44.75,45.21,1036.21380099
1784217600000,45.2,45.28,45.06,45.23,1323.721441
1784221200000,45.22,45.26,44.94,45.08,905.8209315
1784224800000,45.08,45.27,45.08,45.25,607.61030373
1784228400000,45.22,45.3,45.12,45.22,818.79808593
1784232000000,45.19,45.19,45.03,45.04,800.60262402
1784235600000,45.05,45.33,45.05,45.24,823.23359116
1784239200000,45.29,45.35,45.0,45.01,7205.48944852
1784242800000,45.0,45.01,44.78,44.92,900.05654371
1784246400000,44.91,45.28,44.83,45.26,737.6576638
1784250000000,45.26,45.33,44.94,44.94,845.45360852
1784253600000,44.94,45.03,44.77,44.98,707.70629687
1784257200000,44.98,45.83,44.97,45.57,3708.72593853
1784260800000,45.52,45.68,45.22,45.48,1249.12247568
1784264400000,45.49,45.6,45.08,45.1,1822.42270439
1784268000000,45.1,45.17,44.82,44.85,7210.19635813
1784271600000,44.87,44.94,44.69,44.73,499.72336551
1784275200000,44.7,44.72,44.12,44.43,4853.3389295
1784278800000,44.26,44.65,44.26,44.57,384.31735195
1784282400000,44.57,44.91,44.54,44.55,851.42784203
1784286000000,44.53,44.56,44.12,44.35,2124.37916801
1784289600000,44.36,44.41,44.23,44.34,1480.83631235
1784293200000,44.33,44.6,44.08,44.59,1453.4861395
1784296800000,44.59,44.8,44.45,44.51,907.93916019
1784300400000,44.46,44.81,44.33,44.72,2162.18209751
1784304000000,44.74,44.97,44.6,44.86,2050.55908538
1784307600000,44.86,45.05,44.83,44.91,1505.45533338
1784311200000,44.91,45.09,44.88,45.02,593.55996727
1784314800000,44.97,45.13,44.82,45.1,547.40367269
1784318400000,45.08,45.08,44.97,45.05,668.40633168
1784322000000,45.05,45.26,45.0,45.01,1134.0682027
1784325600000,45.01,45.15,44.97,45.04,994.82734193
1784329200000,45.04,45.16,45.01,45.14,515.44050543
1784332800000,45.14,45.25,45.05,45.1,1232.37651802
1784336400000,45.09,45.41,45.09,45.34,493.87987058
1784340000000,45.36,45.59,45.35,45.55,1363.52600505
1784343600000,45.56,45.6,45.42,45.53,574.16322902
1784347200000,45.56,45.56,45.39,45.48,924.24590815
1784350800000,45.47,45.5,45.35,45.37,503.42736014
1784354400000,45.4,45.47,45.36,45.43,245.19792914
1784358000000,45.43,45.66,45.39,45.49,574.28723547
1784361600000,45.47,45.51,45.38,45.39,268.90614118
1784365200000,45.42,45.46,45.35,45.41,421.73900038
1784368800000,45.42,45.49,45.31,45.35,479.9105934
1784372400000,45.36,45.53,45.34,45.5,178.59244553
1784376000000,45.51,45.76,45.51,45.68,1200.78592619
1784379600000,45.67,45.85,45.64,45.75,531.72671516
1784383200000,45.77,46.53,45.62,46.28,10143.48124612
1784386800000,46.32,46.64,46.15,46.2,11606.19444817
1784390400000,46.23,47.21,46.02,47.14,14963.48841194
1784394000000,47.17,47.83,47.0,47.44,11865.89034626
1784397600000,47.45,47.58,47.08,47.13,3706.8646776
1784401200000,47.11,47.3,46.68,46.84,2701.62979977
1784404800000,46.85,47.12,46.76,47.03,4050.7698114
1784408400000,47.01,47.16,46.76,46.8,1525.46999257
1784412000000,46.79,47.01,46.76,47.01,856.23406669
1784415600000,46.99,47.1,46.87,46.99,1439.69411748
1784419200000,46.99,47.18,46.66,46.96,3986.31640915
1784422800000,46.93,46.96,46.76,46.78,801.65424764
1784426400000,46.79,47.22,46.79,47.18,1602.51326844
1784430000000,47.21,47.21,46.81,46.88,976.92161743
